handSide,targetGrip,targetTrigger,joint,positionX,positionY,positionZ,rotationX,rotationY,rotationZ,rotationW,radius
LEFT,0.00,0.00,PALM_EXT,-0.04596990,-0.03710461,0.11535457,0.00720560,-0.05488691,-0.62642330,-0.77751499,0.01190000
LEFT,0.00,0.00,WRIST_EXT,-0.04103771,-0.04022294,0.16783789,0.09567521,-0.16055176,0.63243359,0.75173032,0.01190000
LEFT,0.00,0.00,THUMB_METACARPAL_EXT,-0.01945526,-0.01763982,0.14888832,-0.18354285,0.31210926,-0.03961510,-0.93130577,0.01210000
LEFT,0.00,0.00,THUMB_PROXIMAL_EXT,0.00344669,-0.00282711,0.11907682,0.10532450,0.23862329,0.02385738,-0.96508896,0.01170000
LEFT,0.00,0.00,THUMB_DISTAL_EXT,0.01826004,-0.00980783,0.09098455,-0.48586422,-0.21022837,-0.18556418,0.82783246,0.01050000
LEFT,0.00,0.00,THUMB_TIP_EXT,0.02175995,-0.02821919,0.08181527,-0.48586422,-0.21022837,-0.18556418,0.82783246,0.00960000
LEFT,0.00,0.00,INDEX_METACARPAL_EXT,-0.03929115,-0.01875117,0.15243092,-0.05357816,-0.00843101,-0.76299679,-0.64412284,0.02100000
LEFT,0.00,0.00,INDEX_PROXIMAL_EXT,-0.04617967,-0.01457468,0.07849535,-0.42853454,-0.35873678,0.61838061,0.55251396,0.01060000
LEFT,0.00,0.00,INDEX_INTERMEDIATE_EXT,-0.00594661,-0.01587194,0.06219503,-0.67890471,-0.68736702,0.21915247,0.13633300,0.00950000
LEFT,0.00,0.00,INDEX_DISTAL_EXT,0.00781165,-0.01257664,0.08678374,-0.64523643,-0.69529414,-0.19387542,-0.25029621,0.00860000
LEFT,0.00,0.00,INDEX_TIP_EXT,-0.00123472,-0.01176918,0.09887370,-0.64523643,-0.69529414,-0.19387542,-0.25029621,0.00770000
LEFT,0.00,0.00,MIDDLE_METACARPAL_EXT,-0.04326180,-0.03426710,0.15061918,0.00720560,-0.05488691,-0.62642330,-0.77751499,0.02140000
LEFT,0.00,0.00,MIDDLE_PROXIMAL_EXT,-0.04867801,-0.03994209,0.08008996,-0.35429657,-0.25752848,0.67894858,0.58922136,0.01130000
LEFT,0.00,0.00,MIDDLE_INTERMEDIATE_EXT,-0.01485593,-0.04286575,0.05352190,-0.50363827,-0.46043119,0.56672692,0.46170688,0.00799000
LEFT,0.00,0.00,MIDDLE_DISTAL_EXT,0.01827765,-0.04097590,0.05123642,-0.60468328,-0.57654965,0.43684787,0.33333755,0.00795000
LEFT,0.00,0.00,MIDDLE_TIP_EXT,0.03561159,-0.03906524,0.05875930,-0.62733066,-0.55182230,0.44987145,0.31554019,0.00690000
LEFT,0.00,0.00,RING_METACARPAL_EXT,-0.04299444,-0.04805073,0.15202996,0.04767084,-0.09197821,-0.65237224,-0.75078523,0.01910000
LEFT,0.00,0.00,RING_PROXIMAL_EXT,-0.04799741,-0.06067714,0.08754089,-0.26054898,-0.06340260,0.73380888,0.62419462,0.01050000
LEFT,0.00,0.00,RING_INTERMEDIATE_EXT,-0.02925738,-0.07010594,0.05277666,-0.43996209,-0.28645235,0.67919320,0.51290935,0.00840000
LEFT,0.00,0.00,RING_DISTAL_EXT,-0.00366392,-0.07189187,0.03989336,-0.55972576,-0.43676928,0.58421314,0.39323726,0.00740000
LEFT,0.00,0.00,RING_TIP_EXT,0.01222658,-0.07077479,0.04002276,-0.55972576,-0.43676928,0.58421314,0.39323726,0.00650000
LEFT,0.00,0.00,LITTLE_METACARPAL_EXT,-0.04204013,-0.06068689,0.15447834,0.12363021,-0.10536798,-0.72713965,-0.66699445,0.01850000
LEFT,0.00,0.00,LITTLE_PROXIMAL_EXT,-0.03957065,-0.08071274,0.09485653,-0.24529383,0.03118390,0.78913975,0.56224352,0.00900000
LEFT,0.00,0.00,LITTLE_INTERMEDIATE_EXT,-0.02894901,-0.09051895,0.06837705,-0.38562718,-0.17578757,0.77018458,0.47666159,0.00750000
LEFT,0.00,0.00,LITTLE_DISTAL_EXT,-0.01509827,-0.09228030,0.05672345,-0.45417067,-0.20625207,0.73161823,0.46467611,0.00670000
LEFT,0.00,0.00,LITTLE_TIP_EXT,-0.00523614,-0.09366581,0.05093703,-0.45417067,-0.20625207,0.73161823,0.46467611,0.00650000
LEFT,0.00,0.20,PALM_EXT,-0.04569544,-0.03712440,0.11536106,0.00845225,-0.05348367,-0.62649250,-0.77754670,0.01190000
LEFT,0.00,0.20,WRIST_EXT,-0.04103760,-0.04022318,0.16783804,0.09475304,-0.15945131,0.63257891,0.75196326,0.01190000
LEFT,0.00,0.20,THUMB_METACARPAL_EXT,-0.01952678,-0.01755601,0.14894065,0.18458883,-0.31687379,0.04867403,0.92905992,0.01210000
LEFT,0.00,0.20,THUMB_PROXIMAL_EXT,0.00353768,-0.00245088,0.11940233,0.06903583,0.24885488,0.00423378,-0.96606982,0.01170000
LEFT,0.00,0.20,THUMB_DISTAL_EXT,0.01915341,-0.00685674,0.09122285,0.42141056,0.22862712,0.17960696,-0.85900390,0.01050000
LEFT,0.00,0.20,THUMB_TIP_EXT,0.02419008,-0.02367532,0.07995030,-0.42141056,-0.22862712,-0.17960696,0.85900390,0.00960000
LEFT,0.00,0.20,INDEX_METACARPAL_EXT,-0.03907026,-0.01851779,0.15230121,-0.05703148,-0.01047913,-0.76276457,-0.64407396,0.02100000
